frame-00323.bmp: radius 8.858510e-04, zoom level 1.128858e+03
frame-00328.bmp: radius 7.945225e-04, zoom level 1.258618e+03
frame-00327.bmp: radius 8.120020e-04, zoom level 1.231524e+03
frame-00337.bmp: radius 6.532029e-04, zoom level 1.530918e+03
frame-00333.bmp: radius 7.126096e-04, zoom level 1.403293e+03
frame-00329.bmp: radius 7.774192e-04, zoom level 1.286307e+03
frame-00331.bmp: radius 7.443094e-04, zoom level 1.343527e+03
frame-00172.bmp: radius 2.368350e-02, zoom level 4.222349e+01
frame-00338.bmp: radius 6.391418e-04, zoom level 1.564598e+03
frame-00332.bmp: radius 7.282871e-04, zoom level 1.373085e+03
frame-00335.bmp: radius 6.822600e-04, zoom level 1.465717e+03
frame-00330.bmp: radius 7.606842e-04, zoom level 1.314606e+03
frame-00334.bmp: radius 6.972697e-04, zoom level 1.434165e+03
frame-00341.bmp: radius 5.987486e-04, zoom level 1.670150e+03
frame-00339.bmp: radius 6.253834e-04, zoom level 1.599019e+03
frame-00336.bmp: radius 6.675734e-04, zoom level 1.497963e+03
frame-00340.bmp: radius 6.119211e-04, zoom level 1.634198e+03
frame-00352.bmp: radius 4.712862e-04, zoom level 2.121853e+03
frame-00345.bmp: radius 5.488339e-04, zoom level 1.822045e+03
frame-00346.bmp: radius 5.370195e-04, zoom level 1.862130e+03
frame-00348.bmp: radius 5.141481e-04, zoom level 1.944965e+03
frame-00342.bmp: radius 5.858597e-04, zoom level 1.706893e+03
frame-00347.bmp: radius 5.254594e-04, zoom level 1.903097e+03
frame-00344.bmp: radius 5.609083e-04, zoom level 1.782823e+03
frame-00349.bmp: radius 5.030804e-04, zoom level 1.987754e+03
frame-00343.bmp: radius 5.732483e-04, zoom level 1.744445e+03
frame-00351.bmp: radius 4.816544e-04, zoom level 2.076177e+03
frame-00350.bmp: radius 4.922508e-04, zoom level 2.031485e+03
frame-00354.bmp: radius 4.512143e-04, zoom level 2.216242e+03
frame-00355.bmp: radius 4.415013e-04, zoom level 2.264999e+03
frame-00353.bmp: radius 4.611410e-04, zoom level 2.168534e+03
frame-00357.bmp: radius 4.226980e-04, zoom level 2.365755e+03
frame-00360.bmp: radius 3.959839e-04, zoom level 2.525355e+03
frame-00356.bmp: radius 4.319974e-04, zoom level 2.314829e+03
frame-00171.bmp: radius 2.420454e-02, zoom level 4.131456e+01
frame-00359.bmp: radius 4.046955e-04, zoom level 2.470993e+03
frame-00361.bmp: radius 3.874598e-04, zoom level 2.580913e+03
frame-00363.bmp: radius 3.709581e-04, zoom level 2.695722e+03
frame-00358.bmp: radius 4.135988e-04, zoom level 2.417802e+03
frame-00362.bmp: radius 3.791191e-04, zoom level 2.637693e+03
frame-00365.bmp: radius 3.551592e-04, zoom level 2.815639e+03
frame-00373.bmp: radius 2.984117e-04, zoom level 3.351075e+03
frame-00374.bmp: radius 2.919880e-04, zoom level 3.424799e+03
frame-00366.bmp: radius 3.475139e-04, zoom level 2.877583e+03
frame-00364.bmp: radius 3.629727e-04, zoom level 2.755028e+03
frame-00367.bmp: radius 3.400331e-04, zoom level 2.940890e+03
frame-00377.bmp: radius 2.735346e-04, zoom level 3.655845e+03
frame-00435.bmp: radius 7.742128e-05, zoom level 1.291635e+04
frame-00430.bmp: radius 8.632067e-05, zoom level 1.158471e+04
frame-00414.bmp: radius 1.222726e-04, zoom level 8.178447e+03
frame-00376.bmp: radius 2.795524e-04, zoom level 3.577147e+03
frame-00375.bmp: radius 2.857025e-04, zoom level 3.500144e+03
frame-00379.bmp: radius 2.618849e-04, zoom level 3.818471e+03
frame-00380.bmp: radius 2.562475e-04, zoom level 3.902477e+03
frame-00369.bmp: radius 3.255513e-04, zoom level 3.071712e+03
frame-00370.bmp: radius 3.185434e-04, zoom level 3.139290e+03
frame-00368.bmp: radius 3.327134e-04, zoom level 3.005589e+03
frame-00378.bmp: radius 2.676464e-04, zoom level 3.736273e+03
frame-00382.bmp: radius 2.453340e-04, zoom level 4.076075e+03
frame-00448.bmp: radius 5.834433e-05, zoom level 1.713963e+04
frame-00381.bmp: radius 2.507314e-04, zoom level 3.988332e+03
frame-00383.bmp: radius 2.400529e-04, zoom level 4.165749e+03
frame-00372.bmp: radius 3.049768e-04, zoom level 3.278938e+03
frame-00371.bmp: radius 3.116863e-04, zoom level 3.208354e+03
frame-00451.bmp: radius 5.465703e-05, zoom level 1.829591e+04
frame-00385.bmp: radius 2.298292e-04, zoom level 4.351058e+03
frame-00423.bmp: radius 1.005243e-04, zoom level 9.947843e+03
frame-00415.bmp: radius 1.196405e-04, zoom level 8.358373e+03
frame-00170.bmp: radius 2.473704e-02, zoom level 4.042521e+01
frame-00437.bmp: radius 7.412395e-05, zoom level 1.349092e+04
frame-00436.bmp: radius 7.575467e-05, zoom level 1.320051e+04
frame-00439.bmp: radius 7.096705e-05, zoom level 1.409105e+04
frame-00404.bmp: radius 1.519981e-04, zoom level 6.579031e+03
frame-00403.bmp: radius 1.553420e-04, zoom level 6.437408e+03
frame-00407.bmp: radius 1.423919e-04, zoom level 7.022869e+03
frame-00444.bmp: radius 6.365057e-05, zoom level 1.571078e+04
frame-00394.bmp: radius 1.889501e-04, zoom level 5.292403e+03
frame-00446.bmp: radius 6.093972e-05, zoom level 1.640966e+04
frame-00427.bmp: radius 9.214409e-05, zoom level 1.085257e+04
frame-00421.bmp: radius 1.049960e-04, zoom level 9.524170e+03
frame-00419.bmp: radius 1.096667e-04, zoom level 9.118541e+03
frame-00434.bmp: radius 7.912454e-05, zoom level 1.263830e+04
frame-00426.bmp: radius 9.417126e-05, zoom level 1.061895e+04
frame-00420.bmp: radius 1.073059e-04, zoom level 9.319149e+03
frame-00418.bmp: radius 1.120793e-04, zoom level 8.922251e+03
frame-00408.bmp: radius 1.393268e-04, zoom level 7.177372e+03
frame-00410.bmp: radius 1.333929e-04, zoom level 7.496651e+03
frame-00406.bmp: radius 1.455246e-04, zoom level 6.871692e+03
frame-00401.bmp: radius 1.622523e-04, zoom level 6.163242e+03
frame-00432.bmp: radius 8.264432e-05, zoom level 1.210004e+04
frame-00442.bmp: radius 6.648200e-05, zoom level 1.504167e+04
frame-00431.bmp: radius 8.446250e-05, zoom level 1.183957e+04
frame-00449.bmp: radius 5.708839e-05, zoom level 1.751670e+04
frame-00458.bmp: radius 4.693423e-05, zoom level 2.130641e+04
frame-00412.bmp: radius 1.277118e-04, zoom level 7.830132e+03
frame-00400.bmp: radius 1.658218e-04, zoom level 6.030569e+03
frame-00405.bmp: radius 1.487261e-04, zoom level 6.723769e+03
frame-00402.bmp: radius 1.587596e-04, zoom level 6.298833e+03
frame-00411.bmp: radius 1.305214e-04, zoom level 7.661577e+03
frame-00395.bmp: radius 1.848827e-04, zoom level 5.408836e+03
frame-00398.bmp: radius 1.731982e-04, zoom level 5.773731e+03
frame-00417.bmp: radius 1.145451e-04, zoom level 8.730187e+03
frame-00409.bmp: radius 1.363275e-04, zoom level 7.335275e+03
frame-00413.bmp: radius 1.249626e-04, zoom level 8.002395e+03
frame-00440.bmp: radius 6.943938e-05, zoom level 1.440105e+04
frame-00438.bmp: radius 7.252832e-05, zoom level 1.378772e+04
frame-00518.bmp: radius 1.271850e-05, zoom level 7.862561e+04
frame-00515.bmp: radius 1.357653e-05, zoom level 7.365654e+04
frame-00425.bmp: radius 9.624303e-05, zoom level 1.039036e+04
frame-00416.bmp: radius 1.170651e-04, zoom level 8.542257e+03
frame-00447.bmp: radius 5.962791e-05, zoom level 1.677067e+04
frame-00441.bmp: radius 6.794460e-05, zoom level 1.471787e+04
frame-00454.bmp: radius 5.120275e-05, zoom level 1.953020e+04
frame-00445.bmp: radius 6.228040e-05, zoom level 1.605642e+04
frame-00384.bmp: radius 2.348854e-04, zoom level 4.257395e+03
frame-00520.bmp: radius 1.217683e-05, zoom level 8.212319e+04
frame-00443.bmp: radius 6.505088e-05, zoom level 1.537258e+04
frame-00433.bmp: radius 8.086528e-05, zoom level 1.236625e+04
frame-00422.bmp: radius 1.027358e-04, zoom level 9.733702e+03
frame-00464.bmp: radius 4.118929e-05, zoom level 2.427815e+04
frame-00514.bmp: radius 1.387521e-05, zoom level 7.207098e+04
frame-00428.bmp: radius 9.016056e-05, zoom level 1.109132e+04
frame-00429.bmp: radius 8.821973e-05, zoom level 1.133533e+04
frame-00424.bmp: radius 9.836038e-05, zoom level 1.016670e+04
frame-00396.bmp: radius 1.809028e-04, zoom level 5.527831e+03
frame-00392.bmp: radius 1.973553e-04, zoom level 5.067003e+03
frame-00524.bmp: radius 1.116171e-05, zoom level 8.959203e+04
frame-00528.bmp: radius 1.023121e-05, zoom level 9.774015e+04
frame-00519.bmp: radius 1.244472e-05, zoom level 8.035537e+04
frame-00506.bmp: radius 1.651379e-05, zoom level 6.055546e+04
frame-00465.bmp: radius 4.030264e-05, zoom level 2.481227e+04
frame-00467.bmp: radius 3.858617e-05, zoom level 2.591602e+04
frame-00393.bmp: radius 1.931070e-04, zoom level 5.178477e+03
frame-00397.bmp: radius 1.770086e-04, zoom level 5.649443e+03
frame-00457.bmp: radius 4.796679e-05, zoom level 2.084776e+04
frame-00399.bmp: radius 1.694699e-04, zoom level 5.900753e+03
frame-00459.bmp: radius 4.592391e-05, zoom level 2.177515e+04
frame-00460.bmp: radius 4.493533e-05, zoom level 2.225420e+04
frame-00534.bmp: radius 8.978869e-06, zoom level 1.113726e+05
frame-00456.bmp: radius 4.902206e-05, zoom level 2.039898e+04
frame-00466.bmp: radius 3.943506e-05, zoom level 2.535814e+04
frame-00500.bmp: radius 1.881707e-05, zoom level 5.314322e+04
frame-00389.bmp: radius 2.106694e-04, zoom level 4.746773e+03
frame-00386.bmp: radius 2.248818e-04, zoom level 4.446781e+03
frame-00526.bmp: radius 1.068634e-05, zoom level 9.357745e+04
frame-00516.bmp: radius 1.328427e-05, zoom level 7.527699e+04
frame-00522.bmp: radius 1.165822e-05, zoom level 8.577636e+04
